,state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_eve_minutes,total_eve_calls,total_night_minutes,total_night_calls,total_intl_minutes,total_intl_calls,number_customer_service_calls,churn
0,OH,107,415,0,1,26,161.6,123,195.5,103,254.4,103,13.7,3,1,0
1,NJ,137,415,0,0,0,243.4,114,121.2,110,162.6,104,12.2,5,0,0
2,OH,84,408,1,0,0,299.4,71,61.9,88,196.9,89,6.6,7,2,0
3,OK,75,415,1,0,0,166.7,113,148.3,122,186.9,121,10.1,3,3,0
4,MA,121,510,0,1,24,218.2,88,348.5,108,212.6,118,7.5,7,3,0
5,MO,147,415,1,0,0,157.0,79,103.1,94,211.8,96,7.1,6,0,0
6,LA,117,408,0,0,0,184.5,97,351.6,80,215.8,90,8.7,4,1,0
7,WV,141,415,1,1,37,258.6,84,222.0,111,326.4,97,11.2,5,0,0
8,IN,65,415,0,0,0,129.1,137,228.5,83,208.8,111,12.7,6,4,1
9,RI,74,415,0,0,0,187.7,127,163.4,148,196.0,94,9.1,5,0,0
10,IA,168,408,0,0,0,128.8,96,104.9,71,141.1,128,11.2,2,1,0
11,MT,95,510,0,0,0,156.6,88,247.6,75,192.3,115,12.3,5,3,0
12,NY,161,415,0,0,0,332.9,67,317.8,97,160.6,128,5.4,9,4,1
13,ID,85,408,0,1,27,196.4,139,280.9,90,89.3,75,13.8,4,1,0
14,VA,76,510,0,1,33,189.7,66,212.8,65,165.7,108,10.0,5,1,0
15,TX,73,415,0,0,0,224.4,90,159.5,88,192.8,74,13.0,2,1,0
16,FL,147,415,0,0,0,155.1,117,239.7,93,208.8,133,10.6,4,0,0
17,CO,77,408,0,0,0,62.4,89,169.9,121,209.6,64,5.7,6,5,1
18,AZ,130,415,0,0,0,183.0,112,72.9,99,181.8,78,9.5,19,0,0
19,SC,111,415,0,0,0,110.4,103,137.3,102,189.6,105,7.7,6,2,0
20,VA,132,510,0,0,0,81.1,86,245.2,72,237.0,115,10.3,2,0,0
